id,clazz,type,kind
"_root_.org.ensime.sexp.formats.StandardFormats#DateFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Date]","val"
"_root_.org.ensime.sexp.formats.StandardFormats#FileFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[File]","val"
"_root_.org.ensime.sexp.formats.StandardFormats#UriFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[URI]","val"
"_root_.org.ensime.sexp.formats.BasicFormats#IntFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[Int]","val"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.util.ensimefile.package.richEnsimeFile(Lorg/ensime/api/EnsimeFile;)Lorg/ensime/util/ensimefile/RichEnsimeFile;.","_root_.org.ensime.api.EnsimeFile#","(ensime:EnsimeFile):RichEnsimeFile","def"
"_root_.org.ensime.util.ensimefile.package.richEnsimeFile(Lorg/ensime/api/EnsimeFile;)Lorg/ensime/util/ensimefile/RichEnsimeFile;.","_root_.org.ensime.api.EnsimeFile#","(ensime:EnsimeFile):RichEnsimeFile","def"
"_root_.org.ensime.util.enums.SingletonByName.coproductSingletons(Lorg/ensime/util/enums/SingletonByName;Lshapeless/Witness;Lshapeless/Typeable;)Lorg/ensime/util/enums/SingletonByName;.","_root_.org.ensime.util.enums.SingletonByName#","[A,H,T]=>(implicittsbn:SingletonByName[A,T],witness:Aux[H],tpe:Typeable[H]):SingletonByName[A,:+:[H,T]]","def"
"_root_.org.ensime.util.enums.SingletonByName.CNilSingleton()Lorg/ensime/util/enums/SingletonByName;.","_root_.org.ensime.util.enums.SingletonByName#","[A]=>SingletonByName[A,CNil]","def"
"_root_.org.ensime.util.enums.AdtToMap.fromSingletonByName(Lshapeless/Generic;Lorg/ensime/util/enums/SingletonByName;)Lorg/ensime/util/enums/AdtToMap;.","_root_.shapeless.Generic.Aux#","[A,C]=>(implicitgen:Aux[A,C],singletonByName:SingletonByName[A,C]):AdtToMap[A]","def"
"_root_.org.ensime.util.ensimefile.package.Implicits.DefaultCharset.","_root_.java.nio.charset.Charset#","Charset","val"
"_root_.org.ensime.swanky.SwankyFormats.RpcRequestEnvelopeFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[RpcRequestEnvelope]","val"
"_root_.org.ensime.swanky.SwankyFormats.RpcResponseEnvelopeFormat.","_root_.org.ensime.sexp.SexpFormat#","SexpFormat[RpcResponseEnvelope]","val"
"_root_.org.ensime.jerky.JerkyFormats.RpcResponseEnvelopeFormat.","_root_.spray.json.RootJsonFormat#","RootJsonFormat[RpcResponseEnvelope]","val"
"_root_.org.ensime.jerky.JerkyFormats.RpcRequestEnvelopeFormat.","_root_.spray.json.RootJsonFormat#","RootJsonFormat[RpcRequestEnvelope]","val"
"_root_.akka.pattern.PipeToSupport#pipe(Lscala/concurrent/Future;Lscala/concurrent/ExecutionContext;)Lakka/pattern/PipeToSupport/PipeableFuture;.","_root_.scala.concurrent.Future#","[T]=>(future:Future[T])(implicitexecutionContext:ExecutionContext):PipeableFuture[T]","def"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
"_root_.akka.actor.ActorContext#dispatcher()Lscala/concurrent/ExecutionContextExecutor;.","_root_.scala.concurrent.ExecutionContextExecutor#","ExecutionContextExecutor","def"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.indexer.graph.GraphService.FieldS.","_root_.org.ensime.indexer.orientdb.schema.api.SchemaFormat#","SchemaFormat[Field]","val"
"_root_.org.ensime.indexer.graph.GraphService.EnclosingClassS.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[EnclosingClass.type]","val"
"_root_.org.ensime.indexer.graph.GraphService.UniqueFieldV.","_root_.org.ensime.indexer.graph.GraphService.UniqueFqnSymbol#","UniqueFqnSymbol[Field]","val"
"_root_.org.ensime.indexer.graph.GraphService#db.","_root_.com.tinkerpop.blueprints.impls.orient.OrientGraphFactory#","OrientGraphFactory","val"
"_root_.org.ensime.indexer.graph.GraphService.FileCheckBdf.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[FileCheck]","val"
"_root_.org.ensime.indexer.graph.GraphService.MethodS.","_root_.org.ensime.indexer.orientdb.schema.api.SchemaFormat#","SchemaFormat[Method]","val"
"_root_.org.ensime.indexer.graph.GraphService.UniqueMethodV.","_root_.org.ensime.indexer.graph.GraphService.UniqueFqnSymbol#","UniqueFqnSymbol[Method]","val"
"_root_.org.ensime.indexer.graph.GraphService.UsedAtS.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[UsedAt.type]","val"
"_root_.org.ensime.indexer.graph.GraphService.ClassDefBdf.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[ClassDef]","val"
"_root_.org.ensime.indexer.graph.GraphService.DefinedInS.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[DefinedIn.type]","val"
"_root_.org.ensime.indexer.graph.GraphService.MethodBdf.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[Method]","val"
"_root_.org.ensime.indexer.graph.GraphService.UsedInS.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[UsedIn.type]","val"
"_root_.org.ensime.indexer.graph.GraphService.UniqueClassDefV.","_root_.org.ensime.indexer.graph.GraphService.UniqueFqnSymbol#","UniqueFqnSymbol[ClassDef]","val"
"_root_.org.ensime.indexer.graph.GraphService.UniqueFqnSymbolV.","_root_.org.ensime.indexer.graph.GraphService.UniqueFqnSymbol#","UniqueFqnSymbol[FqnSymbol]","val"
"_root_.org.ensime.indexer.graph.GraphService.IsParentS.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[IsParent.type]","val"
"_root_.org.ensime.indexer.graph.GraphService.UniqueFileCheckV.","_root_.org.ensime.indexer.orientdb.schema.api.OrientIdFormat#","OrientIdFormat[FileCheck,String]","val"
"_root_.org.ensime.indexer.graph.GraphService.FqnSymbolBdf.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[FqnSymbol]","val"
"_root_.org.ensime.indexer.graph.GraphService#ec.","_root_.scala.concurrent.ExecutionContextExecutor#","ExecutionContextExecutor","val"
"_root_.org.ensime.indexer.graph.GraphService.LineNumberBdf.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[UsageLocation]","val"
"_root_.org.ensime.indexer.graph.GraphService.FieldBdf.","_root_.org.ensime.util.stringymap.api.BigDataFormat#","BigDataFormat[Field]","val"
"_root_.org.ensime.indexer.graph.GraphService.ClassDefS.","_root_.org.ensime.indexer.orientdb.schema.api.SchemaFormat#","SchemaFormat[ClassDef]","val"
"_root_.scala.concurrent.ExecutionContext.Implicits.global.","_root_.scala.concurrent.ExecutionContext#","ExecutionContext","val"
"_root_.akka.testkit.ImplicitSender#self()Lakka/actor/ActorRef;.","_root_.akka.actor.ActorRef#","ActorRef","def"
"_root_.akka.testkit.ImplicitSender#self()Lakka/actor/ActorRef;.","_root_.akka.actor.ActorRef#","ActorRef","def"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
